"Frame Transformation Calculation"
"Calculation Inputs"
"Calculation type","Frame Transformation (from Frame 1 to Frame 2)"
"Frame 1","MOON_ME_DE421"
"Frame 2","J2000"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Time sampling","1 seconds in TDT (a.k.a. TT)"
"Light propagation","No correction"
"Orientation form","Euler angles"
"Rotation order","R = [Angle3]z * [Angle2]x * [Angle1]z"
"Angular units","Degrees"
"Angular velocity form","Not included"
"Frame Transformation Results"
"UTC calendar date","Angle 3 (deg)","Angle 2 (deg)","Angle 1 (deg)"
"2024-12-14 20:08:10.000000 UTC",-179.89454799,21.90336259,-72.21114489
"2024-12-14 20:08:11.000000 UTC",-179.89454810,21.90336254,-72.21129729
"2024-12-14 20:08:12.000000 UTC",-179.89454821,21.90336249,-72.21144968
"2024-12-14 20:08:13.000000 UTC",-179.89454832,21.90336244,-72.21160208
"2024-12-14 20:08:14.000000 UTC",-179.89454843,21.90336239,-72.21175448
"2024-12-14 20:08:15.000000 UTC",-179.89454854,21.90336234,-72.21190688
"2024-12-14 20:08:16.000000 UTC",-179.89454865,21.90336229,-72.21205927
"2024-12-14 20:08:17.000000 UTC",-179.89454876,21.90336224,-72.21221167
"2024-12-14 20:08:18.000000 UTC",-179.89454888,21.90336219,-72.21236407
"2024-12-14 20:08:19.000000 UTC",-179.89454899,21.90336214,-72.21251647
"2024-12-14 20:08:20.000000 UTC",-179.89454910,21.90336208,-72.21266886
"2024-12-14 20:08:21.000000 UTC",-179.89454921,21.90336203,-72.21282126
"2024-12-14 20:08:22.000000 UTC",-179.89454932,21.90336198,-72.21297366
"2024-12-14 20:08:23.000000 UTC",-179.89454943,21.90336193,-72.21312606
"2024-12-14 20:08:24.000000 UTC",-179.89454954,21.90336188,-72.21327845
"2024-12-14 20:08:25.000000 UTC",-179.89454965,21.90336183,-72.21343085
"2024-12-14 20:08:26.000000 UTC",-179.89454976,21.90336178,-72.21358325
