"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Fixed point"
"Target center","EARTH"
"Target reference frame","ITRF93"
"Target position representation","Planetodetic (for Earth, Re=6378.1366 km, Rp=6356.7519 km)"
"Target position","<Lon=106.85360678(deg), Lat=29.68903500(deg), Alt=0.511464(km)>"
"Observer type","Object"
"Observer","MOON"
"Reference frame","MOON_ME_DE421"
"Frame locus","CENTER"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2023-11-17T07:33:48.000 to 2023-11-17T07:55:48.000"
"Step","1 minutes"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2023-11-17 07:33:48.000000 UTC",371373.74340618,0.34160618,367569.30269614,-22247.07445838,48128.29401751,-0.10075927,-0.32640400,-0.00166696,"2023-11-17 07:33:48.000000 UTC",1.23876947
"2023-11-17 07:34:48.000000 UTC",371368.96287299,0.34141203,367563.30210833,-22266.66629129,48128.17367047,-0.09926009,-0.32665595,-0.00234454,"2023-11-17 07:34:48.000000 UTC",1.23875352
"2023-11-17 07:35:48.000000 UTC",371364.26810561,0.34121894,367557.39151207,-22286.27303570,48128.01268111,-0.09775956,-0.32690106,-0.00302170,"2023-11-17 07:35:48.000000 UTC",1.23873786
"2023-11-17 07:36:48.000000 UTC",371359.65916365,0.34102692,367551.57098778,-22305.89428136,48127.81107494,-0.09625770,-0.32713933,-0.00369843,"2023-11-17 07:36:48.000000 UTC",1.23872249
"2023-11-17 07:37:48.000000 UTC",371355.13610520,0.34083598,367545.84061429,-22325.52961802,48127.56887821,-0.09475454,-0.32737075,-0.00437472,"2023-11-17 07:37:48.000000 UTC",1.23870740
"2023-11-17 07:38:48.000000 UTC",371350.69898678,0.34064612,367540.20046889,-22345.17863392,48127.28611795,-0.09325010,-0.32759531,-0.00505055,"2023-11-17 07:38:48.000000 UTC",1.23869260
"2023-11-17 07:39:48.000000 UTC",371346.34786334,0.34045734,367534.65062724,-22364.84091816,48126.96282192,-0.09174442,-0.32781302,-0.00572591,"2023-11-17 07:39:48.000000 UTC",1.23867809
"2023-11-17 07:40:48.000000 UTC",371342.08278830,0.34026966,367529.19116341,-22384.51605957,48126.59901865,-0.09023751,-0.32802387,-0.00640079,"2023-11-17 07:40:48.000000 UTC",1.23866386
"2023-11-17 07:41:48.000000 UTC",371337.90381349,0.34008307,367523.82214993,-22404.20364577,48126.19473740,-0.08872941,-0.32822786,-0.00707517,"2023-11-17 07:41:48.000000 UTC",1.23864992
"2023-11-17 07:42:48.000000 UTC",371333.81098921,0.33989758,367518.54365770,-22423.90326516,48125.75000821,-0.08722014,-0.32842498,-0.00774905,"2023-11-17 07:42:48.000000 UTC",1.23863627
"2023-11-17 07:43:48.000000 UTC",371329.80436418,0.33971321,367513.35575599,-22443.61450592,48125.26486184,-0.08570973,-0.32861523,-0.00842241,"2023-11-17 07:43:48.000000 UTC",1.23862290
"2023-11-17 07:44:48.000000 UTC",371325.88398558,0.33952994,367508.25851258,-22463.33695501,48124.73932984,-0.08419820,-0.32879860,-0.00909524,"2023-11-17 07:44:48.000000 UTC",1.23860983
"2023-11-17 07:45:48.000000 UTC",371322.04989898,0.33934779,367503.25199354,-22483.07020045,48124.17344447,-0.08268559,-0.32897510,-0.00976752,"2023-11-17 07:45:48.000000 UTC",1.23859704
"2023-11-17 07:46:48.000000 UTC",371318.30214846,0.33916677,367498.33626343,-22502.81382932,48123.56723877,-0.08117191,-0.32914471,-0.01043924,"2023-11-17 07:46:48.000000 UTC",1.23858453
"2023-11-17 07:47:48.000000 UTC",371314.64077647,0.33898688,367493.51138520,-22522.56742824,48122.92074650,-0.07965720,-0.32930744,-0.01111040,"2023-11-17 07:47:48.000000 UTC",1.23857232
"2023-11-17 07:48:48.000000 UTC",371311.06582392,0.33880812,367488.77742013,-22542.33058478,48122.23400220,-0.07814147,-0.32946329,-0.01178098,"2023-11-17 07:48:48.000000 UTC",1.23856040
"2023-11-17 07:49:48.000000 UTC",371307.57733016,0.33863049,367484.13442799,-22562.10288496,48121.50704113,-0.07662477,-0.32961224,-0.01245096,"2023-11-17 07:49:48.000000 UTC",1.23854876
"2023-11-17 07:50:48.000000 UTC",371304.17533297,0.33845402,367479.58246689,-22581.88391599,48120.73989931,-0.07510711,-0.32975430,-0.01312033,"2023-11-17 07:50:48.000000 UTC",1.23853741
"2023-11-17 07:51:48.000000 UTC",371300.85986854,0.33827869,367475.12159339,-22601.67326360,48119.93261351,-0.07358852,-0.32988947,-0.01378909,"2023-11-17 07:51:48.000000 UTC",1.23852635
"2023-11-17 07:52:48.000000 UTC",371297.63097153,0.33810452,367470.75186237,-22621.47051467,48119.08522124,-0.07206903,-0.33001774,-0.01445721,"2023-11-17 07:52:48.000000 UTC",1.23851558
"2023-11-17 07:53:48.000000 UTC",371294.48867500,0.33793151,367466.47332719,-22641.27525491,48118.19776074,-0.07054866,-0.33013911,-0.01512469,"2023-11-17 07:53:48.000000 UTC",1.23850510
"2023-11-17 07:54:48.000000 UTC",371291.43301045,0.33775966,367462.28603957,-22661.08707007,48117.27027103,-0.06902745,-0.33025358,-0.01579152,"2023-11-17 07:54:48.000000 UTC",1.23849491
