"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Fixed point"
"Target center","EARTH"
"Target reference frame","ITRF93"
"Target position representation","Planetodetic (for Earth, Re=6378.1366 km, Rp=6356.7519 km)"
"Target position","<Lon=106.853(deg), Lat=29.6894(deg), Alt=0.482627(km)>"
"Observer type","Object"
"Observer","MOON"
"Reference frame","MOON_ME_DE421"
"Frame locus","CENTER"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2023-11-29T18:00:00.000 to 2023-11-29T18:21:00.000"
"Step","1 seconds"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2023-11-29 18:00:00.000000 UTC",384406.11008677,0.41090668,380570.87548814,33363.68890039,-42670.01834065,0.01168194,-0.40768923,-0.04997323,"2023-11-29 18:00:00.000000 UTC",1.28224076
"2023-11-29 18:00:01.000000 UTC",384406.09182672,0.41090892,380570.88718266,33363.28120956,-42670.06830822,0.01170707,-0.40769216,-0.04996191,"2023-11-29 18:00:01.000000 UTC",1.28224070
"2023-11-29 18:00:02.000000 UTC",384406.07359048,0.41091116,380570.89890231,33362.87351580,-42670.11826447,0.01173221,-0.40769508,-0.04995059,"2023-11-29 18:00:02.000000 UTC",1.28224064
"2023-11-29 18:00:03.000000 UTC",384406.05537805,0.41091340,380570.91064706,33362.46581948,-42670.16820941,0.01175734,-0.40769799,-0.04993927,"2023-11-29 18:00:03.000000 UTC",1.28224058
"2023-11-29 18:00:04.000000 UTC",384406.03718943,0.41091564,380570.92241698,33362.05811989,-42670.21814302,0.01178247,-0.40770091,-0.04992795,"2023-11-29 18:00:04.000000 UTC",1.28224052
"2023-11-29 18:00:05.000000 UTC",384406.01902463,0.41091787,380570.93421201,33361.65041774,-42670.26806531,0.01180761,-0.40770382,-0.04991663,"2023-11-29 18:00:05.000000 UTC",1.28224046
"2023-11-29 18:00:06.000000 UTC",384406.00088363,0.41092011,380570.94603219,33361.24271233,-42670.31797628,0.01183274,-0.40770674,-0.04990531,"2023-11-29 18:00:06.000000 UTC",1.28224040
"2023-11-29 18:00:07.000000 UTC",384405.98276645,0.41092235,380570.95787751,33360.83500401,-42670.36787593,0.01185788,-0.40770965,-0.04989399,"2023-11-29 18:00:07.000000 UTC",1.28224034
"2023-11-29 18:00:08.000000 UTC",384405.96467308,0.41092459,380570.96974794,33360.42729313,-42670.41776426,0.01188301,-0.40771256,-0.04988267,"2023-11-29 18:00:08.000000 UTC",1.28224028
"2023-11-29 18:00:09.000000 UTC",384405.94660353,0.41092682,380570.98164353,33360.01957900,-42670.46764127,0.01190815,-0.40771546,-0.04987135,"2023-11-29 18:00:09.000000 UTC",1.28224022
"2023-11-29 18:00:10.000000 UTC",384405.92855778,0.41092906,380570.99356425,33359.61186197,-42670.51750696,0.01193328,-0.40771837,-0.04986003,"2023-11-29 18:00:10.000000 UTC",1.28224016
"2023-11-29 18:00:11.000000 UTC",384405.91053586,0.41093130,380571.00551008,33359.20414238,-42670.56736133,0.01195841,-0.40772127,-0.04984871,"2023-11-29 18:00:11.000000 UTC",1.28224010
