"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Fixed point"
"Target center","EARTH"
"Target reference frame","ITRF93"
"Target position representation","Planetodetic (for Earth, Re=6378.1366 km, Rp=6356.7519 km)"
"Target position","<Lon=106.85360678(deg), Lat=29.68903500(deg), Alt=0.511464(km)>"
"Observer type","Object"
"Observer","MOON"
"Reference frame","MOON_ME_DE421"
"Frame locus","CENTER"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2023-12-27T13:56:39.000 to 2023-12-27T14:02:39.000"
"Step","1 seconds"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2023-12-27 13:56:39.000000 UTC",389245.64902529,0.39575358,385419.60124906,33057.93324517,-43255.97424278,-0.22153307,-0.30741221,-0.11420041,"2023-12-27 13:56:39.000000 UTC",1.29838373
"2023-12-27 13:56:40.000000 UTC",389245.41626002,0.39575650,385419.37972468,33057.62582324,-43256.08843862,-0.22151568,-0.30743188,-0.11419127,"2023-12-27 13:56:40.000000 UTC",1.29838295
"2023-12-27 13:56:41.000000 UTC",389245.18350954,0.39575941,385419.15821768,33057.31838163,-43256.20262532,-0.22149830,-0.30745156,-0.11418213,"2023-12-27 13:56:41.000000 UTC",1.29838217
"2023-12-27 13:56:42.000000 UTC",389244.95077385,0.39576233,385418.93672810,33057.01091999,-43256.31680287,-0.22148091,-0.30747123,-0.11417299,"2023-12-27 13:56:42.000000 UTC",1.29838140
"2023-12-27 13:56:43.000000 UTC",389244.71805295,0.39576525,385418.71525588,33056.70343904,-43256.43097129,-0.22146352,-0.30749091,-0.11416385,"2023-12-27 13:56:43.000000 UTC",1.29838062
"2023-12-27 13:56:44.000000 UTC",389244.48534685,0.39576816,385418.49380104,33056.39593842,-43256.54513056,-0.22144613,-0.30751058,-0.11415470,"2023-12-27 13:56:44.000000 UTC",1.29837985
"2023-12-27 13:56:45.000000 UTC",389244.25265554,0.39577108,385418.27236363,33056.08841778,-43256.65928070,-0.22142874,-0.30753025,-0.11414556,"2023-12-27 13:56:45.000000 UTC",1.29837907
"2023-12-27 13:56:46.000000 UTC",389244.01997904,0.39577400,385418.05094357,33055.78087782,-43256.77342169,-0.22141135,-0.30754991,-0.11413642,"2023-12-27 13:56:46.000000 UTC",1.29837829
"2023-12-27 13:56:47.000000 UTC",389243.78731733,0.39577691,385417.82954094,33055.47331784,-43256.88755353,-0.22139395,-0.30756958,-0.11412728,"2023-12-27 13:56:47.000000 UTC",1.29837752
"2023-12-27 13:56:48.000000 UTC",389243.55467042,0.39577983,385417.60815568,33055.16573855,-43257.00167624,-0.22137656,-0.30758925,-0.11411813,"2023-12-27 13:56:48.000000 UTC",1.29837674
"2023-12-27 13:56:49.000000 UTC",389243.32203831,0.39578275,385417.38678781,33054.85813960,-43257.11578980,-0.22135916,-0.30760891,-0.11410899,"2023-12-27 13:56:49.000000 UTC",1.29837597
"2023-12-27 13:56:50.000000 UTC",389243.08942101,0.39578566,385417.16543736,33054.55052064,-43257.22989422,-0.22134176,-0.30762857,-0.11409985,"2023-12-27 13:56:50.000000 UTC",1.29837519
"2023-12-27 13:56:51.000000 UTC",389242.85681851,0.39578858,385416.94410429,33054.24288237,-43257.34398950,-0.22132437,-0.30764824,-0.11409070,"2023-12-27 13:56:51.000000 UTC",1.29837441
"2023-12-27 13:56:52.000000 UTC",389242.62423082,0.39579150,385416.72278861,33053.93522443,-43257.45807562,-0.22130697,-0.30766790,-0.11408156,"2023-12-27 13:56:52.000000 UTC",1.29837364
