"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Fixed point"
"Target center","EARTH"
"Target reference frame","ITRF93"
"Target position representation","Planetodetic (for Earth, Re=6378.1366 km, Rp=6356.7519 km)"
"Target position","<Lon=106.853(deg), Lat=29.6894(deg), Alt=0.482627(km)>"
"Observer type","Object"
"Observer","MOON"
"Reference frame","MOON_ME_DE421"
"Frame locus","CENTER"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Step","1 seconds"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2024-12-14 20:08:10.000000 UTC",364677.71751313,0.36291964,362133.80485714,18382.38027910,-38872.00953832,0.34272165,-0.10066025,0.06418758,"2024-12-14 20:08:10.000000 UTC",1.21643393
"2024-12-14 20:08:11.000000 UTC",364678.04593432,0.36292616,362134.14758489,18382.27963042,-38871.94534656,0.34273383,-0.10063694,0.06419595,"2024-12-14 20:08:11.000000 UTC",1.21643502
"2024-12-14 20:08:12.000000 UTC",364678.37436795,0.36293268,362134.49032482,18382.17900505,-38871.88114643,0.34274601,-0.10061363,0.06420432,"2024-12-14 20:08:12.000000 UTC",1.21643612
"2024-12-14 20:08:13.000000 UTC",364678.70281403,0.36293920,362134.83307691,18382.07840332,-38871.81693792,0.34275819,-0.10059032,0.06421269,"2024-12-14 20:08:13.000000 UTC",1.21643722
"2024-12-14 20:08:14.000000 UTC",364679.03127255,0.36294572,362135.17584120,18381.97782457,-38871.75272105,0.34277037,-0.10056701,0.06422106,"2024-12-14 20:08:14.000000 UTC",1.21643831
"2024-12-14 20:08:15.000000 UTC",364679.35974351,0.36295224,362135.51861766,18381.87726913,-38871.68849581,0.34278255,-0.10054370,0.06422942,"2024-12-14 20:08:15.000000 UTC",1.21643941
"2024-12-14 20:08:16.000000 UTC",364679.68822690,0.36295876,362135.86140630,18381.77673701,-38871.62426220,0.34279472,-0.10052039,0.06423779,"2024-12-14 20:08:16.000000 UTC",1.21644050
"2024-12-14 20:08:17.000000 UTC",364680.01672274,0.36296528,362136.20420709,18381.67622853,-38871.56002023,0.34280689,-0.10049708,0.06424616,"2024-12-14 20:08:17.000000 UTC",1.21644160
"2024-12-14 20:08:18.000000 UTC",364680.34523101,0.36297180,362136.54702007,18381.57574304,-38871.49576989,0.34281906,-0.10047377,0.06425452,"2024-12-14 20:08:18.000000 UTC",1.21644269
"2024-12-14 20:08:19.000000 UTC",364680.67375171,0.36297833,362136.88984522,18381.47528086,-38871.43151118,0.34283123,-0.10045045,0.06426289,"2024-12-14 20:08:19.000000 UTC",1.21644379
"2024-12-14 20:08:20.000000 UTC",364681.00228484,0.36298485,362137.23268254,18381.37484200,-38871.36724411,0.34284340,-0.10042713,0.06427125,"2024-12-14 20:08:20.000000 UTC",1.21644489
"2024-12-14 20:08:21.000000 UTC",364681.33083041,0.36299137,362137.57553203,18381.27442646,-38871.30296868,0.34285557,-0.10040382,0.06427962,"2024-12-14 20:08:21.000000 UTC",1.21644598
"2024-12-14 20:08:22.000000 UTC",364681.65938841,0.36299789,362137.91839366,18381.17403456,-38871.23868488,0.34286773,-0.10038050,0.06428798,"2024-12-14 20:08:22.000000 UTC",1.21644708
"2024-12-14 20:08:23.000000 UTC",364681.98795883,0.36300441,362138.26126748,18381.07366566,-38871.17439271,0.34287989,-0.10035718,0.06429635,"2024-12-14 20:08:23.000000 UTC",1.21644817
"2024-12-14 20:08:24.000000 UTC",364682.31654168,0.36301094,362138.60415345,18380.97332008,-38871.11009219,0.34289205,-0.10033386,0.06430471,"2024-12-14 20:08:24.000000 UTC",1.21644927
"2024-12-14 20:08:25.000000 UTC",364682.64513695,0.36301746,362138.94705159,18380.87299782,-38871.04578330,0.34290421,-0.10031054,0.06431307,"2024-12-14 20:08:25.000000 UTC",1.21645037
"2024-12-14 20:08:26.000000 UTC",364682.97374465,0.36302398,362139.28996189,18380.77269888,-38870.98146605,0.34291637,-0.10028722,0.06432143,"2024-12-14 20:08:26.000000 UTC",1.21645146
"2024-12-14 20:08:27.000000 UTC",364683.30236477,0.36303050,362139.63288434,18380.67242327,-38870.91714043,0.34292853,-0.10026390,0.06432979,"2024-12-14 20:08:27.000000 UTC",1.21645256
