"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Fixed point"
"Observer center","EARTH"
"Observer reference frame","ITRF93"
"Observer position representation","Planetodetic (for Earth, Re=6378.1366 km, Rp=6356.7519 km)"
"Observer position","<Lon=29.6894(deg), Lat=106.853(deg), Alt=0.482627(km)>"
"Reference frame","ITRF93"
"Frame locus","CENTER"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Step","1 seconds"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2024-12-14 20:08:10.000000 UTC",367471.90906370,22.78870487,218737.01490298,245488.40227744,164088.89849566,17.01792828,-15.15570158,0.14105318,"2024-12-14 20:08:10.000000 UTC",1.22575435
"2024-12-14 20:08:11.000000 UTC",367471.97722065,22.78870215,218754.03230250,245473.24598418,164089.03954816,17.01687073,-15.15688493,0.14105182,"2024-12-14 20:08:11.000000 UTC",1.22575458
"2024-12-14 20:08:12.000000 UTC",367472.04537017,22.78869943,218771.04864441,245458.08850762,164089.18059930,17.01581309,-15.15806819,0.14105046,"2024-12-14 20:08:12.000000 UTC",1.22575480
"2024-12-14 20:08:13.000000 UTC",367472.11351228,22.78869671,218788.06392865,245442.92984782,164089.32164907,17.01475537,-15.15925139,0.14104910,"2024-12-14 20:08:13.000000 UTC",1.22575503
"2024-12-14 20:08:14.000000 UTC",367472.18164697,22.78869400,218805.07815513,245427.77000486,164089.46269749,17.01369757,-15.16043451,0.14104774,"2024-12-14 20:08:14.000000 UTC",1.22575526
"2024-12-14 20:08:15.000000 UTC",367472.24977424,22.78869128,218822.09132377,245412.60897882,164089.60374454,17.01263969,-15.16161756,0.14104638,"2024-12-14 20:08:15.000000 UTC",1.22575549
"2024-12-14 20:08:16.000000 UTC",367472.31789409,22.78868856,218839.10343448,245397.44676977,164089.74479024,17.01158172,-15.16280053,0.14104501,"2024-12-14 20:08:16.000000 UTC",1.22575571
"2024-12-14 20:08:17.000000 UTC",367472.38600652,22.78868584,218856.11448718,245382.28337778,164089.88583457,17.01052367,-15.16398343,0.14104365,"2024-12-14 20:08:17.000000 UTC",1.22575594
"2024-12-14 20:08:18.000000 UTC",367472.45411153,22.78868313,218873.12448180,245367.11880293,164090.02687755,17.00946554,-15.16516626,0.14104229,"2024-12-14 20:08:18.000000 UTC",1.22575617
"2024-12-14 20:08:19.000000 UTC",367472.52220912,22.78868041,218890.13341824,245351.95304529,164090.16791916,17.00840733,-15.16634901,0.14104093,"2024-12-14 20:08:19.000000 UTC",1.22575639
"2024-12-14 20:08:20.000000 UTC",367472.59029929,22.78867769,218907.14129643,245336.78610493,164090.30895941,17.00734904,-15.16753169,0.14103957,"2024-12-14 20:08:20.000000 UTC",1.22575662
"2024-12-14 20:08:21.000000 UTC",367472.65838204,22.78867497,218924.14811629,245321.61798193,164090.44999831,17.00629066,-15.16871429,0.14103821,"2024-12-14 20:08:21.000000 UTC",1.22575685
"2024-12-14 20:08:22.000000 UTC",367472.72645737,22.78867226,218941.15387772,245306.44867637,164090.59103584,17.00523220,-15.16989683,0.14103685,"2024-12-14 20:08:22.000000 UTC",1.22575708
"2024-12-14 20:08:23.000000 UTC",367472.79452527,22.78866954,218958.15858066,245291.27818831,164090.73207201,17.00417366,-15.17107928,0.14103549,"2024-12-14 20:08:23.000000 UTC",1.22575730
"2024-12-14 20:08:24.000000 UTC",367472.86258576,22.78866682,218975.16222501,245276.10651783,164090.87310682,17.00311504,-15.17226167,0.14103413,"2024-12-14 20:08:24.000000 UTC",1.22575753
"2024-12-14 20:08:25.000000 UTC",367472.93063883,22.78866411,218992.16481070,245260.93366500,164091.01414027,17.00205633,-15.17344398,0.14103277,"2024-12-14 20:08:25.000000 UTC",1.22575776
"2024-12-14 20:08:26.000000 UTC",367472.99868447,22.78866139,219009.16633764,245245.75962990,164091.15517236,17.00099754,-15.17462621,0.14103141,"2024-12-14 20:08:26.000000 UTC",1.22575798
