"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","MOON"
"Observer type","Fixed point"
"Observer center","EARTH"
"Observer reference frame","ITRF93"
"Observer position representation","Planetodetic (for Earth, Re=6378.1366 km, Rp=6356.7519 km)"
"Observer position","<Lon=29.6894(deg), Lat=106.853(deg), Alt=0.482627(km)>"
"Reference frame","ITRF93"
"Frame locus","CENTER"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:07:10.000 to 2024-12-14T20:30:10.000"
"Step","1 seconds"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2024-12-14 20:07:10.000000 UTC",367467.80607687,22.78886806,217714.03864415,246395.61163682,164080.43285631,17.08123091,-15.08456624,0.14113480,"2024-12-14 20:07:10.000000 UTC",1.22574066
"2024-12-14 20:07:11.000000 UTC",367467.87467863,22.78886533,217731.11934877,246380.52647669,164080.57399043,17.08017830,-15.08575400,0.14113344,"2024-12-14 20:07:11.000000 UTC",1.22574089
"2024-12-14 20:07:12.000000 UTC",367467.94327299,22.78886261,217748.19900073,246365.44012885,164080.71512319,17.07912561,-15.08694169,0.14113208,"2024-12-14 20:07:12.000000 UTC",1.22574112
"2024-12-14 20:07:13.000000 UTC",367468.01185993,22.78885989,217765.27759995,246350.35259335,164080.85625459,17.07807283,-15.08812930,0.14113072,"2024-12-14 20:07:13.000000 UTC",1.22574135
"2024-12-14 20:07:14.000000 UTC",367468.08043947,22.78885717,217782.35514636,246335.26387028,164080.99738463,17.07701997,-15.08931683,0.14112936,"2024-12-14 20:07:14.000000 UTC",1.22574158
"2024-12-14 20:07:15.000000 UTC",367468.14901160,22.78885445,217799.43163987,246320.17395970,164081.13851331,17.07596703,-15.09050430,0.14112800,"2024-12-14 20:07:15.000000 UTC",1.22574181
"2024-12-14 20:07:16.000000 UTC",367468.21757632,22.78885173,217816.50708039,246305.08286170,164081.27964063,17.07491400,-15.09169169,0.14112664,"2024-12-14 20:07:16.000000 UTC",1.22574204
"2024-12-14 20:07:17.000000 UTC",367468.28613363,22.78884901,217833.58146785,246289.99057635,164081.42076659,17.07386090,-15.09287901,0.14112528,"2024-12-14 20:07:17.000000 UTC",1.22574226
"2024-12-14 20:07:18.000000 UTC",367468.35468353,22.78884628,217850.65480216,246274.89710371,164081.56189118,17.07280771,-15.09406625,0.14112392,"2024-12-14 20:07:18.000000 UTC",1.22574249
"2024-12-14 20:07:19.000000 UTC",367468.42322602,22.78884356,217867.72708323,246259.80244387,164081.70301442,17.07175443,-15.09525342,0.14112256,"2024-12-14 20:07:19.000000 UTC",1.22574272
