"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Fixed point"
"Target center","EARTH"
"Target reference frame","ITRF93"
"Target position representation","Planetodetic (for Earth, Re=6378.1366 km, Rp=6356.7519 km)"
"Target position","<Lon=106.853(deg), Lat=29.6894(deg), Alt=0.482627(km)>"
"Observer type","Object"
"Observer","MOON"
"Reference frame","J2000"
"Frame locus","Center"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Time sampling","1 seconds in TDT (a.k.a. TT)"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2024-12-14 20:08:10.000000 UTC",364677.71732484,0.91411343,-93703.60342410,-310466.50411462,-166793.35131064,0.73117519,-0.52969998,-0.14284302,"2024-12-14 20:08:10.000000 UTC",1.21643393
"2024-12-14 20:08:11.000000 UTC",364678.04574602,0.91414089,-93702.87223857,-310467.03382422,-166793.49415301,0.73119586,-0.52971920,-0.14284171,"2024-12-14 20:08:11.000000 UTC",1.21643502
"2024-12-14 20:08:12.000000 UTC",364678.37417964,0.91416836,-93702.14103238,-310467.56355302,-166793.63699406,0.73121653,-0.52973841,-0.14284040,"2024-12-14 20:08:12.000000 UTC",1.21643612
"2024-12-14 20:08:13.000000 UTC",364678.70262571,0.91419582,-93701.40980551,-310468.09330104,-166793.77983380,0.73123720,-0.52975763,-0.14283909,"2024-12-14 20:08:13.000000 UTC",1.21643721
"2024-12-14 20:08:14.000000 UTC",364679.03108422,0.91422328,-93700.67855797,-310468.62306828,-166793.92267224,0.73125788,-0.52977684,-0.14283778,"2024-12-14 20:08:14.000000 UTC",1.21643831
"2024-12-14 20:08:15.000000 UTC",364679.35955517,0.91425075,-93699.94728975,-310469.15285472,-166794.06550936,0.73127855,-0.52979605,-0.14283647,"2024-12-14 20:08:15.000000 UTC",1.21643941
"2024-12-14 20:08:16.000000 UTC",364679.68803856,0.91427821,-93699.21600086,-310469.68266037,-166794.20834517,0.73129923,-0.52981526,-0.14283516,"2024-12-14 20:08:16.000000 UTC",1.21644050
"2024-12-14 20:08:17.000000 UTC",364680.01653438,0.91430568,-93698.48469129,-310470.21248523,-166794.35117968,0.73131991,-0.52983446,-0.14283385,"2024-12-14 20:08:17.000000 UTC",1.21644160
"2024-12-14 20:08:18.000000 UTC",364680.34504264,0.91433315,-93697.75336104,-310470.74232930,-166794.49401287,0.73134059,-0.52985367,-0.14283254,"2024-12-14 20:08:18.000000 UTC",1.21644269
"2024-12-14 20:08:19.000000 UTC",364680.67356334,0.91436061,-93697.02201011,-310471.27219257,-166794.63684475,0.73136127,-0.52987287,-0.14283123,"2024-12-14 20:08:19.000000 UTC",1.21644379
"2024-12-14 20:08:20.000000 UTC",364681.00209646,0.91438808,-93696.29063850,-310471.80207504,-166794.77967533,0.73138195,-0.52989208,-0.14282992,"2024-12-14 20:08:20.000000 UTC",1.21644489
"2024-12-14 20:08:21.000000 UTC",364681.33064202,0.91441555,-93695.55924620,-310472.33197672,-166794.92250459,0.73140264,-0.52991128,-0.14282861,"2024-12-14 20:08:21.000000 UTC",1.21644598
"2024-12-14 20:08:22.000000 UTC",364681.65920000,0.91444302,-93694.82783322,-310472.86189760,-166795.06533254,0.73142333,-0.52993048,-0.14282730,"2024-12-14 20:08:22.000000 UTC",1.21644708
"2024-12-14 20:08:23.000000 UTC",364681.98777042,0.91447048,-93694.09639954,-310473.39183768,-166795.20815918,0.73144401,-0.52994968,-0.14282599,"2024-12-14 20:08:23.000000 UTC",1.21644817
"2024-12-14 20:08:24.000000 UTC",364682.31635326,0.91449795,-93693.36494519,-310473.92179695,-166795.35098452,0.73146470,-0.52996887,-0.14282468,"2024-12-14 20:08:24.000000 UTC",1.21644927
"2024-12-14 20:08:25.000000 UTC",364682.64494852,0.91452542,-93692.63347014,-310474.45177542,-166795.49380854,0.73148540,-0.52998807,-0.14282337,"2024-12-14 20:08:25.000000 UTC",1.21645036
"2024-12-14 20:08:26.000000 UTC",364682.97355621,0.91455289,-93691.90197440,-310474.98177308,-166795.63663125,0.73150609,-0.53000726,-0.14282206,"2024-12-14 20:08:26.000000 UTC",1.21645146
"2024-12-14 20:08:27.000000 UTC",364683.30217632,0.91458036,-93691.17045796,-310475.51178994,-166795.77945265,0.73152678,-0.53002645,-0.14282075,"2024-12-14 20:08:27.000000 UTC",1.21645256
"2024-12-14 20:08:28.000000 UTC",364683.63080886,0.91460783,-93690.43892083,-310476.04182599,-166795.92227275,0.73154748,-0.53004565,-0.14281944,"2024-12-14 20:08:28.000000 UTC",1.21645365
"2024-12-14 20:08:29.000000 UTC",364683.95945381,0.91463531,-93689.70736300,-310476.57188123,-166796.06509153,0.73156818,-0.53006483,-0.14281813,"2024-12-14 20:08:29.000000 UTC",1.21645475
"2024-12-14 20:08:30.000000 UTC",364684.28811117,0.91466278,-93688.97578448,-310477.10195566,-166796.20790900,0.73158887,-0.53008402,-0.14281682,"2024-12-14 20:08:30.000000 UTC",1.21645585
"2024-12-14 20:08:31.000000 UTC",364684.61678096,0.91469025,-93688.24418525,-310477.63204928,-166796.35072516,0.73160958,-0.53010321,-0.14281551,"2024-12-14 20:08:31.000000 UTC",1.21645694
"2024-12-14 20:08:32.000000 UTC",364684.94546316,0.91471772,-93687.51256533,-310478.16216208,-166796.49354002,0.73163028,-0.53012239,-0.14281420,"2024-12-14 20:08:32.000000 UTC",1.21645804
